Date,Julian,Lake,Counted.By,Total,UA,UJ,UninfectedMales,UninfectedEphip,APasteuria,JPasteuria,MalePasteuria,EphipPastueria,Brood,EBrood,AMicG,JMicG,MaleMicG,EphipMicG,ASpiro,JSpiro,MaleSpiro,EphipSpiro,AWhiteSpiro,JWhiteSpiro,MaleWhiteSpiro,EWhiteSpiro,AYellowSpiro,AMetsch,JMetsch,MaleMetsch,EphipMetsch,ALarssonia,ASpiderman,JSpiderman,ESpiderman,MaleSpiderman,AMicGPast,JMicGPast,AMicGSpiro,AMetschBrood,AMicGBrood,AMicGMetsch,JMicGMetsch,MMicGMetsch,AMetschPast,JMetschPast,AMicGWhiteSpiro,MaleWhiteSpiroMetsch,APastSpider,MPastSpider,,,,
23-Aug-17,235,Cedar,MAR,246,123,78,,,,1,,,1,,38,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
23-Aug-17,235,CrookedW,CDG,213,32,158,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug-17,236,Mill,CLS,228,77,144,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Aug-17,236,Walsh,CDG,252,96,101,,,1,1,,,,,45,3,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug-17,237,North,MAR,269,80,161,,,,3,,,,,23,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
28-Aug-17,240,Appleton,KKH,178,63,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug-17,240,Bishop,CLS,201,94,103,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug-17,240,LittleAppleton,MAR,359,49,183,,,6,61,,,,,39,20,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Aug-17,242,Whitmore,CDG,22,9,4,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Aug-17,242,Woodland,KKH,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Aug-17,243,Bruin,MAR,274,133,131,1,,1,,,,,,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Aug-17,243,CrookedP,CLS,221,26,119,1,,6,6,,,,,29,31,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,
1-Sep-17,244,Gosling,CDG,242,153,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Sep-17,244,Pickerel,MAR,205,88,83,,,,,,,,,28,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Sep-17,244,Sullivan,CDG,212,44,160,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
5-Sep-17,248,Cedar,CLS,242,114,104,,,2,,,,1,,18,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Sep-17,248,CrookedW,MAR,304,111,133,,,1,,,,,,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Sep-17,249,Mill,CDG,353,142,182,2,2,2,,,,1,,21,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
6-Sep-17,249,Walsh,KKH,438,162,168,,,7,10,,,,,51,8,,,,,,,,,,,,18,10,,,,,,,,,,,,,1,2,,,1,,,,,,,,
7-Sep-17,250,North,KKH,259,67,172,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep-17,251,Appleton,CLS,112,42,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep-17,251,Bishop,MAR,223,99,103,,,,2,,,,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep-17,251,LittleAppleton,KKH,321,46,163,,,17,82,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep-17,254,Whitmore,KKH,25,10,6,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep-17,254,Woodland,CDG,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep-17,256,Bruin,CDG,219,78,119,2,,2,1,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep-17,256,Crooked P,CLS,209,57,111,,,4,3,,,3,,21,2,,,,,,,,,,,,3,,,,,,,,,,1,,,3,,,,,1,,,,,,,,
14-Sep-17,257,Gosling,CLS,216,83,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Sep-17,257,Pickerel,KKH,220,72,132,,,,,,,,,6,,,,,,,,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
14-Sep-17,257,Sullivan,CDG,217,43,162,,,,,,,,,,,,,,2,,,1,,,,,4,4,,,,,1,,,,,,,,,,,,,,,,,,,,
15-Sep-17,258,North,CLS,216,83,94,,,5,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
18-Sep-17,261,Appleton,CDG,150,67,82,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Sep-17,261,Bishop,KKH,468,135,317,,,1,,,,3,,11,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Sep-17,261,LittleAppleton,MAR,206,22,71,,,18,55,,,,,19,13,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,
19-Sep-17,262,Cedar,KKH,355,92,207,,,1,,,,26,,24,,,,1,1,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
19-Sep-17,262,CrookedW,MAR,196,33,128,3,,,,,,,,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Sep-17,263,Mill,CLS,206,55,135,2,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Sep-17,263,Walsh,KKH,320,182,63,4,,11,4,,,,,21,,,,,,,,,,,,,27,7,,,,,,,,,,,,,1,,,,,,,,,,,,
21-Sep-17,264,CrookedP,CDG - Camden's project,300,150,65,1,,26,6,,,16,,21,1,,,,,,,,,,,,12,1,,,,,,,,1,,,,,,,,,,,,,,,,,
25-Sep-17,268,Whitmore,CDG,71,22,28,,,2,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Sep-17,268,Woodland,CLS,133,45,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Sep-17,271,Bruin,KKH,108,39,52,6,,4,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Sep-17,271,CrookedP,CDG,218,92,97,1,,4,,,,3,,3,,,,,,,,,,,,,14,3,,,,,,,,,,,,,1,,,,,,,,,,,,
28-Sep-17,271,Walsh,CDG - Camden's project,249,76,84,9,,10,7,,,,,21,,,,1,,,,,,,,,31,5,,1,,,,,,3,,,,,1,,,,,,,,,,,,
29-Sep-17,272,Gosling,CLS,253,82,162,,,,,,,3,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,
29-Sep-17,272,Pickerel,MAR,244,76,99,,,,,,,8,,14,2,,,,,,,,,,,,36,8,,,,,,,,,,,,,1,,,,,,,,,,,,
29-Sep-17,272,Sullivan,KKH,249,65,167,,,,,,,,,,,,,,3,,,,,,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,
2-Oct-17,275,North,MAR,214,29,158,11,,,,,,,,12,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Oct-17,276,Appleton,MAR,278,79,197,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Oct-17,276,Bishop,CLS,212,86,112,1,,,1,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Oct-17,276,LittleAppleton,KKH,249,101,51,2,,3,79,1,,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Oct-17,278,Cedar,KKH,385,158,154,18,,7,3,1,,13,,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
5-Oct-17,278,CrookedW,CDG,252,69,113,34,,3,1,,,,,31,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Oct-17,279,Mill,CLS,210,100,81,18,,2,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Oct-17,279,Walsh,CDG,221,66,60,16,,8,10,2,,,,27,2,,,,,,,,,,,,17,7,2,,,1,,,,2,,,,,1,,,,,,,,,,,,
7-Oct-17,280,LittleAppleton,CDG - Camden's project,116,36,30,1,,5,31,,,,,10,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
9-Oct-17,282,Bruin,CDG,286,65,108,48,,7,,,,,,56,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
9-Oct-17,282,CrookedP,MAR,229,50,107,10,,1,1,,,,,33,12,,,,,,,,,,,,8,3,,,,,,,,1,,,,3,,,,,,,,,,,,,
10-Oct-17,283,Whitmore,KKH,28,5,16,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
10-Oct-17,283,Woodland,CLS,209,79,122,6,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Oct-17,284,Gosling,CLS,251,83,154,11,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Oct-17,284,Pickerel,CDG,236,52,109,11,,,1,,,3,,1,,,,,,,,1,,,,,31,27,,,,,,,,,,,,,,,,,,,,,,,,,
11-Oct-17,284,Sullivan,KKH,270,55,165,20,,,,,,,,,,,,1,,,,,,,,,17,9,3,,,,,,,,,,,,,,,,,,,,,,,,
13-Oct-17,286,Appleton,MAR,227,112,106,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Oct-17,286,Bishop,CLS,255,92,146,7,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Oct-17,286,LittleAppleton,KKH,171,62,83,13,,3,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Oct-17,289,North,CDG,203,80,53,35,2,,,,,14,,9,,,1,1,,,,1,1,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
17-Oct-17,290,Cedar,MAR,416,131,127,42,,13,3,,,1,,91,3,3,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,
17-Oct-17,290,CrookedW,CLS,443,92,141,135,6,,,,,,,54,1,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Oct-17,292,Mill,CLS,202,62,53,78,5,,,,,,,2,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Oct-17,292,Walsh,MAR,225,16,40,30,,5,2,,,,,44,32,16,,,,,,,,,,,13,11,3,,,,,,,1,1,,,,2,7,,2,,,,,,,,,
23-Oct-17,296,Whitmore,CLS,9,5,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Oct-17,296,Woodland,CDG,223,91,119,9,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Oct-17,298,Bruin,KKH,250,109,55,53,20,4,,,,,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Oct-17,298,CrookedP,CDG,264,75,51,71,44,3,,1,,3,,4,,,3,,,,,,,,,,6,,2,,,,,,,1,,,,,,,,,,,,,,,,,
26-Oct-17,299,Gosling,CDG,278,130,83,46,12,,1,,,4,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
26-Oct-17,299,Pickerel,KKH,204,92,35,25,1,,,,,12,,1,,,,,,,,,,,,,22,10,4,,,,,,,,,,1,,1,,,,,,,,,,,,
26-Oct-17,299,Sullivan,CLS,231,30,80,97,,,,,,,,,,,,,,,,,,,,,16,2,5,,,,,,,,,,,,,,,,,,1,,,,,,
